id_from	id_to	cat_from	cat_to	edge_betweenness
B00FD94JL4	B071NQVVWW	automotive	handmade	6.232597769000494e-09
B0081DKVSO	B01APU2UVQ	industrial	hpc	2.2437351968401777e-07
8872129389	8889823461	books	english-books	3.739558661400296e-08
8889823461	8889823992	english-books	books	2.4930391076001975e-08
B00JD4AMM0	B0117B6S9M	hpc	beauty	7.439228697078989e-05
B0117B6S9M	B00VXE6I94	beauty	hpc	7.439228697078989e-05
B00J8DJMPE	B06XNMHW5P	industrial	tools	7.439228697078988e-05
B00KY312JQ	B01MU075M8	hpc	grocery	3.1162988845002466e-08
B07HDSFPX9	B00T326W58	hpc	baby	7.43922869707899e-05
B073DKR74T	B07KYKMHW5	videogames	electronics	0.0005204842396892312
B008JVR67C	B076PDGQQS	hpc	baby	7.439228697078989e-05
B008JVR67C	B01M9ICAXF	hpc	beauty	7.439228697078989e-05
B013BZA0LY	B01M01PC3Y	appliances	kitchen	7.439228697078989e-05
B013BZA0LY	B079FRFWTN	appliances	industrial	0.00037183678289856944
B013BZA0LY	B00PSFLCEA	appliances	kitchen	0.0005204842396892312
B00U7OASVK	B077XG55B8	jewelry	toys	3.1162988845002466e-08
B00TWFYZVY	B00PS6LI34	toys	kitchen	0.00037183678289856944
B06ZXWVZ3X	B07HK8JMRP	office	jewelry	7.439228697078989e-05
B06ZXWVZ3X	B07H7Z4GV6	office	kitchen	7.439228697078989e-05
B07F62M9PV	B01GOM4WDI	jewelry	electronics	7.439228697078989e-05
B07F62M9PV	B00E8JAD42	jewelry	toys	7.439228697078989e-05
B00PSFLCEA	B06XH1145C	kitchen	appliances	0.001188780768068078
B00PSFLCEA	B01MAUHFRI	kitchen	appliances	0.00014877210874604177
B01AFRMO7Y	B01KC7OSKS	watch	kitchen	7.439228697078989e-05
B015ODED3W	B07NKW77HC	electronics	apparel	3.739558661400296e-08
B06XSY1YK3	B071WWMYVK	hpc	kitchen	3.8642106167803063e-07
B00FQIC5RM	B07MCTHBYS	tools	garden	0.0031876122681731506
B01MZXIPDS	B07BGS6Y1S	appliances	electronics	7.439228697078989e-05
B07BGS6Y1S	B07JMYNJM4	electronics	apparel	0.0005947892702912551
B01A920JHM	B00AWMLPGE	apparel	sports	0.0007433619359086889
B01A920JHM	B00X4LFSYK	apparel	sports	7.439228697078989e-05
B005FUXIKY	B00DQHYQ18	appliances	kitchen	0.0005947892702912551
B0015KB19I	B0015KFAE0	kitchen	appliances	7.439228697078989e-05
B075K2RJMK	B01FQMGNQG	apparel	shoes	1.1841935761100938e-07
B00K4SWG0U	B01JGM3SN8	tools	kitchen	7.439228697078989e-05
B015CH1NAQ	B00OXY3AIS	pc	electronics	0.00022313946532575568
B06XWJ5HMY	B071WLPKVJ	pc	electronics	3.739558661400296e-08
B01APU2UVQ	B075SGYFWP	hpc	industrial	3.988862572160316e-07
880788545X	B005N6S9OA	books	english-books	6.232597769000493e-08
B07BK9PYKZ	B00RD3C8KM	tools	toys	7.439228697078989e-05
B00D2NA5IO	B01LZ30YUR	tools	kitchen	7.439228697078989e-05
B00D2NA5IO	B0752FPFF7	tools	jewelry	7.439228697078989e-05
B071D3NLPC	B00M9B66BU	beauty	luxury-beauty	0.0005204842396892312
B06XFNGHCF	B07BXHGL3J	kitchen	musical-instruments	0.00044616674389166936
B07B9V7BPH	B07FMBR2V5	tools	kitchen	0.00022313946532575568
B01D9VKTGQ	B06W52441T	electronics	tools	7.439228697078989e-05
B0779CLBHM	B07D8GJGHL	beauty	shoes	7.439228697078989e-05
